Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),Reset_Phase (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
17.388000,29.446435,20.774701,31.517818,0.380059,0.000000,1.000000,0.000000,901.038433,98.832784,763.213409,36.771751,585.908354,13.710103,4801.464035,207.221523,99.56042183302391,0.3815432402892822,2.898806801975816,29.569369207997465,0.12293442199832456,0.12878350926109036,0.014840417782873417,0.001484370330777857,1.7430684470745281,10.225250077754845,1.391040000000058,0.5988544467873104,0.6163390258287497,8.694000000000218,2.907248794421294,0,0,0,36.823652354324594,0.037061227045557574,14.113522432136048,0.021876574171344483
17.442000,29.661550,20.776027,31.495363,0.384266,0.000000,1.000000,0.000000,900.634446,99.233203,762.191142,37.793345,585.389896,14.224292,4797.992110,210.648745,99.9644081089151,0.3858120542839105,2.915031961252094,29.785371907997472,0.12382213509590453,0.132351142397517,0.015513024011175488,0.0015462427811997947,1.748971614500852,10.253608581871152,1.3953600000000583,0.5988544467873104,0.6193328714530462,8.721000000000219,2.995176928966515,0,0,0,37.84591942836577,0.037061227045557574,14.633337394429802,0.023232944984277762
17.496000,29.876660,20.778351,31.473015,0.397476,0.000000,1.000000,0.000000,899.842747,100.022511,761.675965,38.308065,584.684731,14.916183,4794.765485,213.850441,100.77315097190032,0.3990856853008834,2.939513957298657,30.00137460799748,0.12471414161609158,0.13474228990774453,0.01596962787025533,0.0016091976497369092,1.7549620083893374,10.28194729456803,1.3996800000000587,0.6158975362494652,0.6213293069796114,8.74800000000022,3.0715875103217654,0,0,0,38.361096173700886,0.037061227045557574,15.339342573423059,0.0240740694992314
17.550000,30.090868,20.781672,31.450771,0.410991,0.000000,1.000000,0.000000,898.645802,101.217041,761.417377,38.566192,584.149335,15.437999,4791.993450,216.617650,101.98727448769324,0.41266582989898504,2.972282743137602,30.217377307997488,0.12650959439108003,0.1371571793894508,0.01643087777849956,0.0016748064212056533,1.7610386516874452,10.310267744706014,1.404000000000059,0.6330761785859589,0.6223278153794152,8.77500000000022,3.136182943518822,0,0,0,38.620180091894184,0.0375571766841132,15.875598888239653,0.024934139416729825
17.604000,30.305963,20.783994,31.438145,0.420454,0.000000,1.000000,0.000000,897.841468,102.020155,761.157746,38.825358,583.251726,16.326078,4788.912233,219.735771,102.79737201449662,0.42219615360183993,3.021650185896133,30.433380007997496,0.1274173604854882,0.13837657591562458,0.016896789250214386,0.0017425819814551535,1.7672818822800047,10.329136830259847,1.4083200000000593,0.6388402225070464,0.6243256679379612,8.802000000000222,3.175646628997924,0,0,0,38.88130132912542,0.039046915475680136,16.774721397770627,0.026447246488755943
17.658000,30.519231,20.786316,31.435118,0.435397,0.000000,1.000000,0.000000,897.042171,102.818218,760.894510,39.088593,582.712533,16.850258,4786.547154,222.159250,103.6083112762131,0.4372089658163477,3.079483439260827,30.649382707997503,0.13015129529308234,0.1396104093390418,0.016896789250214386,0.001812030204170149,1.7736871179241753,10.338568695738731,1.4126400000000596,0.6504827488600478,0.6263239747057524,8.829000000000223,3.2020795629491974,0,0,0,39.14653012315306,0.041040163142867604,17.315478872022076,0.028012039574316007
17.712000,30.733395,20.789636,31.422775,0.440490,0.000000,1.000000,0.000000,897.059737,102.799419,759.569706,40.412924,582.351562,17.206065,4783.227820,225.536717,103.6083112762131,0.4423728136012731,3.137555067164271,30.86538540799751,0.13199034172313526,0.14084415769117686,0.017370621176331997,0.001883210039169889,1.7802027407828456,10.35742802294602,1.41696000000006,0.6680482008509472,0.6273236271057082,8.856000000000224,3.2290178676459496,0,0,0,40.47234531523908,0.04205096803274451,17.678366376922646,0.029928084918740556
17.766000,30.945698,20.792957,31.410442,0.461054,0.000000,1.000000,0.000000,896.676968,103.179711,758.506826,41.475559,582.352519,17.184471,4780.711428,228.001350,104.01456605220379,0.46300974966811903,3.154198870983933,31.08138810799752,0.13569042302467413,0.14332086796078816,0.017614686278687532,0.0019555859072160602,1.786721137114414,10.37627907706595,1.4212800000000603,0.6915339013913494,0.62832341333875,8.883000000000225,3.32442017231461,0,0,0,41.535735818739056,0.04256193571150181,17.678366376922646,0.030885816383451545
17.820000,31.158910,20.794277,31.360460,0.471288,0.000000,1.000000,0.000000,895.462679,104.392752,757.972697,42.009189,582.157871,17.368810,4778.072764,230.653847,105.23475436866524,0.47331869421735545,3.195991320097332,31.297390807997527,0.13848121229257293,0.1445687146909993,0.018113990783383833,0.002030735213978631,1.7932405899758932,10.432780260900628,1.4256000000000606,0.6974334695059428,0.6313229702088072,8.910000000000226,3.379380399578075,0,0,0,42.07090304180749,0.04360028298812555,17.873333530767642,0.031204755746412374
17.874000,31.373037,20.795597,31.320047,0.471212,0.000000,1.000000,0.000000,893.840966,106.010688,757.434971,42.546660,581.961720,17.564961,4775.015585,233.724112,106.86248230422478,0.47331869421735545,3.2379329371736345,31.513393507997534,0.1403564788324958,0.14834626922753066,0.018369275417196518,0.0021070783664652957,1.7998441356015338,10.479796909813436,1.429920000000061,0.7034484568095046,0.6343229991272012,8.937000000000227,3.4352362768865303,0,0,0,42.60915324255211,0.04412395886436817,18.07077950182959,0.03249995977329856
