Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),GF_MKP_Feedforward (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
66.042000,0.000529,22.412926,59.900446,0.472460,0.000000,0.000000,1.000000,998.637491,1.192372,794.138894,5.798592,598.875938,0.619917,4944.410782,91.355825,103.17125326210369,0.5041451078086971,20.011651247997374,0.5061042002802113,0.505574923239588,0.17013721402078807,0.06251348595211217,0.03168555496026371,1.0984398108439581,4.91833197837977,5.283359999999923,25.33261705496756,2.870433835762289,33.02100000000107,17.26604456648019,1,1,63.72033768474038,14.572174824252981,8.711068902120292,9.88069668553212,8.756634403584302
66.096000,0.000535,22.413212,59.896025,0.472955,0.000000,0.000000,1.000000,998.644916,1.184947,794.138894,5.798488,598.869223,0.626059,4944.394576,91.383320,103.17442078402156,0.5047175825762394,20.028840626617107,0.5061096002804812,0.505574923239588,0.17013721402078807,0.06261786061596343,0.03176218201072781,1.0994099814954665,4.923723047709191,5.287679999999922,25.341105684219897,2.874468421672327,33.04800000000107,17.298944773320656,1,1,63.72033768474038,14.572174824252981,8.711068902120292,9.896862586439994,8.76608554892741
66.150000,0.000540,22.417532,59.891609,0.472879,0.000000,0.000000,1.000000,998.644916,1.184947,794.180052,5.757330,598.887711,0.607572,4944.421617,91.401206,103.17442078402156,0.5047175825762394,20.06322067777012,0.5061150002807512,0.505574923239588,0.17013721402078807,0.06261786061596343,0.03183879664828005,1.1003552179804368,4.929113721097478,5.291999999999921,25.341105684219897,2.874468421672327,33.07500000000107,17.315398331976777,1,1,63.72036763035082,14.575844349575446,8.755896362012951,9.896862586439994,8.784573367710907
66.204000,0.000545,22.417816,59.887184,0.473355,0.000000,0.000000,1.000000,998.653352,1.176510,794.191258,5.746124,598.880934,0.613796,4944.399364,91.434734,103.17442078402156,0.5052704961575915,20.080414440686184,0.5061204002810211,0.505574923239588,0.17013721402078807,0.06261786061596343,0.03191542873226462,1.101305163373109,4.934503965918929,5.29631999999992,25.349542563426215,2.8785035773568666,33.10200000000107,17.34831592309737,1,1,63.72038295742477,14.579514162151284,8.770771873959825,9.912915914585367,8.793849908284686
66.258000,0.000541,22.422136,59.882743,0.473823,0.000000,0.000000,1.000000,998.652807,1.177013,794.206106,5.731173,598.890066,0.604119,4944.433208,91.445820,103.17604504965546,0.5058146932265161,20.11480396968697,0.5061258002812911,0.505584806626338,0.17017958802964375,0.06272102358827142,0.031992137498993656,1.1022383571005205,4.939893841902799,5.300639999999919,25.349542563426215,2.8785035773568666,33.12900000000107,17.364775893463058,1,1,63.720398591491275,14.579514162151284,8.785620062202678,9.912915914585367,8.802982008511528
66.312000,0.000546,22.426456,59.878299,0.474847,0.000000,0.000000,1.000000,998.660651,1.169127,794.202459,5.734717,598.874084,0.619000,4944.445005,91.512620,103.17765608586689,0.5069160026636188,20.16640094689784,0.506131200281561,0.505584806626338,0.1702219799888067,0.06282418470364591,0.03206901079443723,1.103184100206777,4.945283316742986,5.304959999999918,25.35792764453589,2.8785035773568666,33.15600000000107,17.364775893463058,1,1,63.720398591491275,14.5831615023152,8.785620062202678,9.928898348518608,8.802982008511528
66.366000,0.000542,22.430776,59.879251,0.475319,0.000000,0.000000,1.000000,998.677246,1.152490,794.198863,5.738313,598.892357,0.600178,4944.472220,91.530335,103.17765608586689,0.5074648152544765,20.200807102396887,0.5061366002818309,0.5055947065121361,0.17026376879751876,0.06282418470364591,0.0321459911233928,1.1041198097876246,4.945283316742986,5.309279999999917,25.374522782514354,2.8785035773568666,33.18300000000107,17.381252699524335,1,1,63.72041417512862,14.58675703765479,8.785620062202678,9.928898348518608,8.821255740984466
66.420000,0.000538,22.431059,59.880191,0.476889,0.000000,0.000000,1.000000,998.684921,1.144774,794.198863,5.738313,598.876354,0.614534,4944.474088,91.573395,103.17925160647884,0.5091126308091644,20.235218487859996,0.5061420002821009,0.5056044605999915,0.17030498213501452,0.06282418470364591,0.03222316584803195,1.1050599188158625,4.945283316742986,5.313599999999916,25.382733613095585,2.8825411171133206,33.210000000001074,17.39773554105511,1,1,63.72041417512862,14.58675703765479,8.785620062202678,9.944901944602588,8.821255740984466
66.474000,0.000533,22.431341,59.875757,0.476812,0.000000,0.000000,1.000000,998.693078,1.136617,794.210180,5.726996,598.878969,0.611919,4944.469464,91.622952,103.17925160647884,0.5091126308091644,20.26964209757029,0.5061474002823708,0.505614168714272,0.17030498213501452,0.06282418470364591,0.0323004177696017,1.1060151446940862,4.950672533912934,5.317919999999915,25.390890641402542,2.886578707712701,33.237000000001075,17.41422613330895,1,1,63.72041417512862,14.590277852978648,8.80045766014391,9.960905281824672,8.839874069607504
66.528000,0.000529,22.435661,59.871324,0.477836,0.000000,0.000000,1.000000,998.701179,1.128517,794.221494,5.715579,598.878969,0.610818,4944.479685,91.623956,103.17925160647884,0.5102135886016478,20.286855204069287,0.5061528002826408,0.5056237668824987,0.17030498213501452,0.06292727063179226,0.03237780581329845,1.1069568332173088,4.956061409829176,5.322239999999914,25.398990815656056,2.886578707712701,33.264000000001076,17.447213545757858,1,1,63.72042858612022,14.593773527035532,8.815267342064612,9.960905281824672,8.839874069607504
