Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
53.352000,115.100363,7.282975,69.314159,263.014886,313.461208,677.906670,0.013060,794.504689,0.074854,320.051066,1530.889115,2989.930703,707.4721434200816,279.87408036526693,47.35937257355782,22.23248448920339,7.132121368348455,8.63212174313669,5.48225022812853,16.85919386679551,52.209041331980664,7.894881919141174,4.268160000000026,20.933351246588504,11.985184563664617,26.676000000000897,553.2155545215325,800.934138587502,0.9471989220238413,603.5649182477207,3.639771912052601
53.406000,115.112301,7.276210,69.361076,263.260210,313.124126,678.235616,0.012721,794.490728,0.077278,319.760683,1530.618852,2989.950444,707.818139060866,280.1620389013473,47.440654094833,22.25132887789852,7.13902747500398,8.640258592729133,5.496551230019959,16.901828583201162,52.26844050665592,7.907364450902685,4.272480000000022,20.942264964401254,11.996270364284788,26.7030000000009,553.5743577495307,800.9349729659904,0.9476939677291012,603.5668583753682,3.6441368299675063
53.460000,115.127683,7.269454,69.403824,263.409377,313.133007,678.210457,0.012016,794.481899,0.077726,319.568407,1530.666679,2989.270147,707.818139060866,280.3538665400499,47.49871212369598,22.270163921560446,7.1424813463234385,8.656536149835294,5.5060850932768,16.944489204998373,52.32783967922721,7.9240159467146825,4.276800000000018,20.951146345550338,12.007345631060545,26.7300000000009,554.2918858859199,800.9361718612563,0.9481879111094081,603.5707750205394,3.648501189629417
53.514000,115.136149,7.268241,69.454892,263.749977,313.141873,678.177176,0.011508,794.468106,0.078188,319.184636,1530.703815,2988.409779,707.818139060866,280.73717552158246,47.545158141610884,22.288992940726963,7.152843468370146,8.68095122051457,5.520385688547867,16.9871981290346,52.3872388482555,7.932347323593257,4.281120000000015,20.960011871053187,12.012878863062324,26.7570000000009,555.1885639678623,800.9369255941091,0.9484339752963822,603.5746765370416,3.6528645839258123
53.568000,115.154971,7.255971,69.497616,263.994402,312.459796,678.842970,0.011809,794.463038,0.073509,318.902133,1530.067010,2988.605327,708.5090538487378,281.02435751180883,47.614826873819666,22.307814902289376,7.152843468370146,8.69723359726629,5.525152495377797,17.029955289379252,52.44663801376482,7.949021728918842,4.285440000000011,20.96885003298668,12.029468673085727,26.7840000000009,555.7264897794787,800.9371173903795,0.9489267134983186,603.582263900631,3.655772983011036
53.622000,115.159968,7.238222,69.552844,264.142935,312.459796,678.826678,0.011921,794.458160,0.076548,318.707783,1530.101335,2987.747967,708.5090538487378,281.21566931472654,47.661272646117574,22.326630225706328,7.166662634743686,8.713525730798148,5.529919272938682,17.072734800311437,52.50603717737437,7.953192773879218,4.289760000000007,20.96885003298668,12.051537589984227,26.811000000000902,556.6229703536993,800.9374920600958,0.9494127504685514,603.5879496401137,3.664497306944372
53.676000,115.178777,7.231526,69.599724,264.386883,311.607014,679.646846,0.012012,794.458069,0.077066,318.420514,1529.266158,2987.569337,709.3705914604536,281.50242010253436,47.69610676971091,22.345439328571096,7.166662634743686,8.746139849897606,5.529919272938682,17.115536640175844,52.56543633907807,7.965712722675644,4.294080000000004,20.977605485062107,12.062553692767024,26.838000000000903,557.6986119214203,800.9378859638409,0.9498980309004906,603.5917929023516,3.668859035924691
53.730000,115.190667,7.230342,69.646590,264.630513,310.936974,680.300568,0.012346,794.452968,0.079469,318.131619,1528.620350,2987.392309,710.0581425776883,281.7889118793946,47.74255210349771,22.36424076438317,7.173573633734534,8.762457468194748,5.534686019620778,17.158398610334885,52.62483549639149,7.978245464924672,4.2984,20.99511663777652,12.068058015406907,26.865000000000904,558.5948930674789,800.9382791560687,0.9506247457799791,603.5937507996125,3.673219708061982
53.784000,115.202549,7.229157,69.701809,264.873856,310.268410,680.944626,0.012188,794.443593,0.084718,317.840139,1527.987473,2987.393205,710.7442402806781,282.0751423417176,47.80060882565292,22.383034952129016,7.180485596587788,8.786963938301383,5.544219427344726,17.201286276000275,52.68423465152291,7.98242544830969,4.302719999999996,21.012650694317845,12.07356296174326,26.892000000000905,559.3119306633387,800.9386794856906,0.9508671614166009,603.5957682839313,3.680486603990523
53.838000,115.204059,7.216980,69.740292,265.212152,310.294645,680.910220,0.012234,794.438780,0.078540,317.465078,1528.021170,2986.536838,710.7442402806781,282.45638204489444,47.847053789257885,22.401825627930204,7.197766382725577,8.795135063825063,5.548986090074417,17.24423049726464,52.743633802481625,8.003342193237673,4.307039999999993,21.038884812697688,12.09005956027123,26.919000000000906,560.2080456632726,800.9388748704813,0.9511089236300132,603.6019470477974,3.680486603990523
53.892000,115.222845,7.215806,69.787135,265.454803,310.329531,680.867164,0.011762,794.434485,0.075212,317.182770,1528.061947,2985.864408,710.7442402806781,282.7420173401659,47.90510960698196,22.420610927015154,7.197766382725577,8.803305777215328,5.5537527262273585,17.28721405487995,52.803032950435906,8.015897860383037,4.311359999999989,21.07377086859472,12.09555367746834,26.946000000000907,560.924754820741,800.9398283594243,0.9515903441842668,603.6096326615349,3.6848450246464592
53.946000,115.238163,7.203663,69.825591,265.697157,309.986967,681.193382,0.011909,794.429572,0.071074,316.901529,1527.765112,2985.529701,711.0868037493049,283.02739717414795,47.96316510581566,22.439386706706458,7.20122344359885,8.819650601859317,5.558519334270355,17.3302403220493,52.86243209511411,8.036840991874406,4.315679999999985,21.07377086859472,12.112016984031024,26.97300000000091,561.6413521760549,800.9404004424014,0.9523094773674907,603.6152240619501,3.686297696891436
54.000000,115.246559,7.197021,69.876608,266.034195,309.679420,681.492751,0.011957,794.424757,0.070211,316.522280,1527.446921,2984.835018,711.4290068886647,283.40750896531523,47.99799814939095,22.458155046087498,7.211595818362675,8.827828717017058,5.56328591170014,17.37331437825174,52.921831236180005,8.045223375288119,4.319999999999982,21.10842681047595,12.122978842104382,27.00000000000091,562.7160593247447,800.9405914518718,0.9525486664946383,603.6204436536067,3.6906545138070386
54.054000,115.251495,7.190391,69.927618,266.465555,309.354847,681.800962,0.012434,794.419514,0.067887,316.050103,1527.117833,2983.960803,711.7708620475148,283.8820100441865,48.0212200830494,22.47692092678547,7.22542597164909,8.844190494954187,5.568052457380648,17.416454943223332,52.9812303723127,8.053611880600073,4.324319999999978,21.125709094407284,12.133929320394902,27.02700000000091,563.9695847277427,800.9405914518718,0.9530254554526641,603.6256711469421,3.6935582423776427
54.108000,115.259885,7.178304,69.970226,266.517192,309.363476,681.784152,0.012540,794.414641,0.068530,315.954645,1527.175954,2983.462261,711.7708620475148,283.97682515796555,48.09088527878556,22.495683728066858,7.235799045548245,8.852372002961268,5.572818972800086,17.45963290774224,53.040629505449985,8.070403293703894,4.328639999999974,21.13433762926866,12.150336494000918,27.05400000000091,564.5066695094474,800.9411994795236,0.9537398039032289,603.6308349826721,3.69936481195878
54.162000,115.275184,7.160796,70.008628,266.663545,309.030516,682.117112,0.013074,794.414107,0.064677,315.768953,1526.866554,2982.950119,712.1123725190738,284.16636967160207,48.137328346392046,22.514440755411687,7.239256842088721,8.852372002961268,5.572818972800086,17.50282434917841,53.10002863720951,8.091400949992096,4.332959999999971,21.142888379242976,12.17216426047912,27.081000000000913,565.4016556588659,800.9416101340333,0.9546845331463397,603.6375908830789,3.70226790364102
54.216000,115.287017,7.148782,70.042817,266.809760,308.365547,682.773896,0.012658,794.400224,0.064516,315.579680,1526.203778,2982.410415,712.7943134698702,284.3558031079334,48.16054973661647,22.533190145899635,7.246173624384962,8.86055730650735,5.587118348418243,17.5460428965878,53.159427766689596,8.116610570789875,4.337279999999967,21.159860499924523,12.188498346719339,27.108000000000914,566.6543567886281,800.942026547859,0.9546845331463397,603.6392027244957,3.7037192098208602
54.270000,115.302299,7.147661,70.089607,267.145035,307.702057,683.412791,0.012718,794.395397,0.064208,315.201463,1525.585737,2982.588223,713.4747826557427,284.7343289211163,48.2302140997262,22.55193128138514,7.249632609724599,8.885152798699227,5.5918847509806735,17.589293629777274,53.21882689349461,8.129219501385025,4.341599999999963,21.176839215976774,12.193939302647665,27.135000000000915,567.1912539122598,800.942433928914,0.955152096186159,603.6424134279599,3.706621336059605
54.324000,115.317573,7.146541,70.132181,267.385339,307.557633,683.540809,0.012153,794.386429,0.062324,314.919750,1525.474336,2982.259432,713.6446792794724,285.01792581794854,48.29987825081382,22.570665203944287,7.2530917411406115,8.901558175370202,5.6014174719966725,17.632586728925776,53.27822601691754,8.146044640946926,4.34591999999996,21.202311984154235,12.19937885686609,27.162000000000916,567.7281101021528,800.9432324629114,0.9553856037483144,603.6471990519071,3.7095231389119707
54.378000,115.336297,7.145422,70.174744,267.530940,307.226589,683.863646,0.012489,794.376561,0.060414,314.732736,1525.167524,2981.745029,713.9842098802151,285.20684998006254,48.34632090829581,22.58938922006112,7.2530917411406115,8.909764637604951,5.610950078538917,17.675910237807894,53.337625137783405,8.162881185185013,4.350239999999956,21.21079880911585,12.204817741255567,27.189000000000917,568.6227685005756,800.9438319736958,0.9563205295535915,603.6534617438624,3.7138752802070982
54.432000,115.344636,7.144305,70.229932,267.676398,306.726457,684.339155,0.012754,794.366763,0.065859,314.538482,1524.698430,2981.393083,714.4928294434325,285.39565874494866,48.392763193705086,22.60810769405764,7.2634720085007975,8.934387299810469,5.6204825682867,17.719260724038513,53.397024256279536,8.167092461810428,4.354559999999952,21.219286833026953,12.21025528415522,27.216000000000918,569.5172498252495,800.9440328772358,0.956787295888806,603.6567189869211,3.7225783556691665
54.486000,115.352967,7.132328,70.289331,267.916006,306.218677,684.838722,0.013027,794.356958,0.072849,314.248495,1524.232815,2981.037745,715.0006098425247,285.67865644385836,48.43920538657383,22.626820628943115,7.273853338069023,8.942601401914077,5.630014936407402,17.76265004494476,53.45642337154081,8.167092461810428,4.358879999999949,21.219286833026953,12.226552395247875,27.24300000000092,570.4116454307867,800.9444590639839,0.9574864938065204,603.658431303044,3.7312799560467313
54.540000,115.361292,7.120381,70.348730,268.625941,305.711734,685.337441,0.013294,794.347159,0.072485,313.495454,1523.791052,2981.039543,715.5075529411608,286.4320616187427,48.508868572281436,22.645527613168316,7.284235853741596,8.950825549890551,5.63954719097764,17.806120530756093,53.51582248060375,8.167092461810428,4.363199999999945,21.219286833026953,12.242818950973987,27.27000000000092,570.9482728988036,800.944886670414,0.9581805431685387,603.6602449636425,3.7327296313170955
