Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
0.660000,4999.340101,2999.340101,100.659899,100.659899,220
0.663000,4999.337102,2999.337102,100.662898,100.662898,221
0.666000,4999.334102,2999.334102,100.665898,100.665898,222
0.669000,4999.331103,2999.331103,100.668897,100.668897,223
0.672000,4999.328103,2999.328103,100.671897,100.671897,224
0.675000,4999.325103,2999.325103,100.674897,100.674897,225
0.678000,4999.322104,2999.322104,100.677896,100.677896,226
0.681000,4999.319104,2999.319104,100.680896,100.680896,227
0.684000,4999.316105,2999.316105,100.683895,100.683895,228
0.687000,4999.313105,2999.313105,100.686895,100.686895,229
0.690000,4999.310106,2999.310106,100.689894,100.689894,230
0.693000,4999.307106,2999.307106,100.692894,100.692894,231
0.696000,4999.304107,2999.304107,100.695893,100.695893,232
0.699000,4999.301107,2999.301107,100.698893,100.698893,233
0.702000,4999.298108,2999.298108,100.701892,100.701892,234
0.705000,4999.295108,2999.295108,100.704892,100.704892,235
0.708000,4999.292109,2999.292109,100.707891,100.707891,236
0.711000,4999.289109,2999.289109,100.710891,100.710891,237
0.714000,4999.286109,2999.286109,100.713891,100.713891,238
0.717000,4999.283110,2999.283110,100.716890,100.716890,239
0.720000,4999.280110,2999.280110,100.719890,100.719890,240
0.723000,4999.277111,2999.277111,100.722889,100.722889,241
0.726000,4999.274111,2999.274111,100.725889,100.725889,242
0.729000,4999.271112,2999.271112,100.728888,100.728888,243
0.732000,4999.268112,2999.268112,100.731888,100.731888,244
0.735000,4999.265113,2999.265113,100.734887,100.734887,245
0.738000,4999.262113,2999.262113,100.737887,100.737887,246
0.741000,4999.259114,2999.259114,100.740886,100.740886,247
0.744000,4999.256114,2999.256114,100.743886,100.743886,248
0.747000,4999.253115,2999.253115,100.746885,100.746885,249
0.750000,4999.250115,2999.250115,100.749885,100.749885,250
0.753000,4999.247115,2999.247115,100.752885,100.752885,251
0.756000,4999.244116,2999.244116,100.755884,100.755884,252
0.759000,4999.241116,2999.241116,100.758884,100.758884,253
0.762000,4999.238117,2999.238117,100.761883,100.761883,254
0.765000,4999.235117,2999.235117,100.764883,100.764883,255
0.768000,4999.232118,2999.232118,100.767882,100.767882,256
0.771000,4999.229118,2999.229118,100.770882,100.770882,257
0.774000,4999.226119,2999.226119,100.773881,100.773881,258
0.777000,4999.223119,2999.223119,100.776881,100.776881,259
0.780000,4999.220120,2999.220120,100.779880,100.779880,260
0.783000,4999.217120,2999.217120,100.782880,100.782880,261
0.786000,4999.214121,2999.214121,100.785879,100.785879,262
0.789000,4999.211121,2999.211121,100.788879,100.788879,263
