time,P12,P14,P21,P24,P27,P3,P6,P7,P8,T1,T6
1113.2771915721676,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1113.7771915721676,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1113.7777915721676,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1114.2777915721676,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1114.2783915721677,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1114.7783915721677,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1114.7789915721678,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1115.2789915721678,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1115.2795915721679,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1115.7795915721679,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1115.780191572168,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1116.280191572168,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1116.280791572168,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1116.780791572168,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1116.781391572168,90.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1117.281391572168,90.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1117.2820582388347,90.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1117.7820582388347,90.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1117.7827249055013,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1118.2827249055013,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1118.2833915721678,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1118.7833915721678,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1118.7840582388344,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1119.2840582388344,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1119.284724905501,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1119.784724905501,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1119.7853915721676,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1120.2853915721676,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1120.2860582388341,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1120.7860582388341,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1120.7867249055007,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1121.2867249055007,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1121.2873915721673,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1121.7873915721673,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1121.7880582388339,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1122.2880582388339,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1122.2887249055004,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1122.7887249055004,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1122.789391572167,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1123.289391572167,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1123.2900582388336,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1123.7900582388336,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1123.7907249055002,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1124.2907249055002,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1124.2913915721667,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1124.7913915721667,90.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1124.7920582388333,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1125.2920582388333,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1125.2928082388332,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1125.7928082388332,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1125.7935582388332,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1126.2935582388332,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1126.294308238833,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1126.794308238833,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1126.795058238833,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1127.295058238833,80.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2474,644
1127.295808238833,70.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1127.795808238833,70.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1127.79666538169,70.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1128.29666538169,70.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1128.297522524547,70.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1128.797522524547,70.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1128.798379667404,60.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1129.298379667404,60.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1129.299379667404,60.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1129.799379667404,60.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1129.800379667404,50.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1130.300379667404,50.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1130.301579667404,50.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1130.801579667404,50.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1130.802779667404,50.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1131.302779667404,50.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1131.3039796674038,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1131.8039796674038,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1131.8051796674038,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1132.3051796674038,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1132.3063796674037,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1132.8063796674037,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1132.8075796674036,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1133.3075796674036,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1133.3087796674035,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1133.8087796674035,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1133.8099796674035,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1134.3099796674035,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1134.3111796674034,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1134.8111796674034,40.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1134.8123796674033,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1135.3123796674033,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1135.3135796674032,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1135.8135796674032,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1135.8147796674032,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1136.3147796674032,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1136.315979667403,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1136.815979667403,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1136.817179667403,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1137.317179667403,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1137.318379667403,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1137.818379667403,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1137.8195796674029,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1138.3195796674029,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1138.3207796674028,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1138.8207796674028,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1138.8219796674027,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1139.3219796674027,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1139.3231796674027,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1139.8231796674027,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1139.8243796674026,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1140.3243796674026,30.0,0,8.0,5.0,9.0,4.0,1.0,22.0,6.0,2476,644
1140.3255796674025,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1140.8255796674025,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1140.8263204081431,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1141.3263204081431,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1141.3270611488838,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1141.8270611488838,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1141.8278018896244,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1142.3278018896244,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1142.328542630365,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1142.828542630365,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1142.8292833711057,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1143.3292833711057,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1143.3300241118463,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1143.8300241118463,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1143.830764852587,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1144.330764852587,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1144.3315055933276,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1144.8315055933276,30.0,0,8.0,5.0,9.0,9.0,1.0,22.0,6.0,2478,644
1144.8322463340683,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1145.3322463340683,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1145.3325524565173,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1145.8325524565173,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1145.8328585789664,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1146.3328585789664,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1146.3331647014154,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1146.8331647014154,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1146.8334708238644,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1147.3334708238644,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1147.3337769463135,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1147.8337769463135,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
