time,P12,P14,P21,P24,P27,P7,P8
4814.648477910698,130.0,0,20.0,8.0,10.0,131.0,0
4815.148477910698,130.0,0,20.0,8.0,10.0,131.0,0
4815.148939449159,130.0,0,20.0,8.0,10.0,131.0,0
4815.648939449159,130.0,0,20.0,8.0,10.0,131.0,0
4815.6494009876205,130.0,0,20.0,8.0,10.0,130.0,0
4816.1494009876205,130.0,0,20.0,8.0,10.0,130.0,0
4816.149862526082,130.0,0,20.0,8.0,10.0,130.0,0
4816.649862526082,130.0,0,20.0,8.0,10.0,130.0,0
4816.650324064543,130.0,0,20.0,8.0,10.0,130.0,0
4817.150324064543,130.0,0,20.0,8.0,10.0,130.0,0
4817.150785603005,120.0,0,20.0,8.0,10.0,130.0,0
4817.650785603005,120.0,0,20.0,8.0,10.0,130.0,0
4817.651285603005,120.0,0,20.0,8.0,10.0,130.0,0
4818.151285603005,120.0,0,20.0,8.0,10.0,130.0,0
4818.151785603005,120.0,0,20.0,8.0,10.0,130.0,0
4818.651785603005,120.0,0,20.0,8.0,10.0,130.0,0
4818.652285603005,120.0,0,20.0,8.0,10.0,130.0,0
4819.152285603005,120.0,0,20.0,8.0,10.0,130.0,0
4819.152785603005,120.0,0,20.0,8.0,10.0,130.0,0
4819.652785603005,120.0,0,20.0,8.0,10.0,130.0,0
4819.653285603005,120.0,0,20.0,8.0,10.0,130.0,0
4820.153285603005,120.0,0,20.0,8.0,10.0,130.0,0
4820.153785603005,130.0,0,20.0,8.0,10.0,130.0,0
4820.653785603005,130.0,0,20.0,8.0,10.0,130.0,0
4820.654247141467,130.0,0,20.0,8.0,10.0,130.0,0
4821.154247141467,130.0,0,20.0,8.0,10.0,130.0,0
4821.154708679928,130.0,0,20.0,8.0,10.0,130.0,0
4821.654708679928,130.0,0,20.0,8.0,10.0,130.0,0
4821.65517021839,130.0,0,20.0,8.0,10.0,130.0,0
4822.15517021839,130.0,0,20.0,8.0,10.0,130.0,0
4822.155631756851,130.0,0,20.0,8.0,10.0,130.0,0
